title,company,region,job_type,category,skills,description,published_date,url,scraped_at
"Sr Data Scientist, Growth Product",Wealthsimple,Anywhere in the World,Full-Time,Management and Finance,,"Headquarters: Remote / Canada Build something people love Wealthsimple is on a mission to help everyone achieve financial freedom by reimagining what it means to manage your money. Using smart technology, we take financial services that are often confusing and expensive and make them transparent and low-cost for everyone. We’re the largest fintech company in Canada, with 3+ million users who trust us with more than $100 billion in assets. And we’re just getting started. We’re looking for someone","Tue, 16 Jun 2026 20:31:33 +0000",https://weworkremotely.com/remote-jobs/wealthsimple-sr-data-scientist-growth-product,2026-06-18T16:02:15.783215
Data Analyst/ Curam,AHU Technologies,Anywhere in the World,Full-Time,Front-End Programming,"Analytics, Data Visualization, Google Analytics, Monitoring and Analytics, Predictive Analytics, Analytics Tools, ETL Processes,  Data Visualization, and Sales Analytics","Headquarters: Fully Remote - US URL: http://ahutech.com Job Description: Short Description: The Client is looking for Data analyst with 11 years of experience managing data pertaining to the different medical, nutrition, and financial subsidies managed by the Client system. Complete Description: The Data Analyst will play a critical role to support the work of the Client Program Administration, Executive Steering Committee and Client Stakeholders. Under the aegis of the Client Chief Data Officer","Mon, 15 Jun 2026 20:07:47 +0000",https://weworkremotely.com/remote-jobs/ahu-technologies-data-analyst-curam,2026-06-18T16:02:15.807056
